candidate_id,tfidf_pc1_frozen,behav_splitA_source_mean,behav_has_retweet_A
C0001,-0.0740995733619974,-0.6625,1.0
C0002,0.2383160712763778,0.5829268,1.0
C0003,-0.3592674714746925,-0.66818184,1.0
C0004,0.2840027582097263,0.60714287,1.0
C0005,-0.2712062609253156,-0.755,1.0
C0006,0.2476797224619187,0.70714283,1.0
C0007,-0.3029320054392678,-0.65217394,1.0
C0008,0.2361519504827959,0.7,1.0
C0009,-0.2205599272770566,-0.67142856,1.0
C0010,0.3055304075819396,0.65555555,1.0
C0011,-0.3630394981168836,-0.6116667,1.0
C0012,0.3485773824628144,0.60925925,1.0
C0013,-0.2508652301797929,-0.7083333,1.0
C0014,0.2723177864737089,0.6625,1.0
C0015,-0.2494925762798499,-0.335,1.0
C0016,0.3247988217352924,0.79,1.0
C0017,-0.3046496277137445,-0.64827585,1.0
C0018,0.2936300219580772,0.8,1.0
C0019,-0.175142466369695,-0.48333332,1.0
C0020,0.2443743697627458,0.63,1.0
C0021,0.1966761492624928,0.29871795,1.0
C0022,-0.2421227198921432,-0.6944444,1.0
C0023,0.2606827435842661,0.67,1.0
C0024,-0.376698367838901,-0.725,1.0
C0025,0.1295803091562714,0.675,1.0
C0026,-0.1854284733319831,-0.43055555,1.0
C0027,-0.2973821019587215,-0.5466667,1.0
C0028,0.2644521669700517,0.40416667,1.0
C0029,-0.214023043665151,-0.25263157,1.0
C0030,0.3089576443223761,0.5607143,1.0
C0031,-0.3634715184834206,-0.6666667,1.0
C0032,-0.1189786961657466,-0.25384617,1.0
C0033,0.2083103148999856,0.69,1.0
C0034,-0.2974039618122764,-0.75,1.0
C0035,0.2363409345767979,0.74,1.0
C0036,-0.2575789459006558,-0.54545456,1.0
C0037,0.226714498373461,0.6375,1.0
C0038,-0.2380442928777391,-0.5425,1.0
C0039,0.2277776101271214,0.24,1.0
C0040,-0.3326970761848051,-0.45789474,1.0
C0041,0.1736289524765518,0.0,0.0
C0042,-0.281629214247363,-0.37142858,1.0
C0043,0.2840776318534523,0.60694444,1.0
C0044,-0.1817806417330478,-0.15,1.0
C0045,0.3056489295042384,0.75,1.0
C0046,0.3701692871552957,0.76891893,1.0
C0047,-0.3104038872343006,-0.7026316,1.0
C0048,0.2956685094546211,0.05,1.0
C0049,-0.0751216116970018,-0.15,1.0
C0050,0.2877781421735217,0.596875,1.0
C0051,-0.1197604535796723,-0.215625,1.0
C0052,-0.2315278923675547,-0.78333336,1.0
C0053,0.2166881367010174,0.35,1.0
C0054,-0.2209692326525242,-0.5029412,1.0
C0055,0.3342216585632017,0.73205125,1.0
C0056,-0.370371369495599,-0.5875,1.0
C0057,0.2999540115981375,0.6666667,1.0
C0058,0.1081221643459761,0.37272727,1.0
C0059,0.0795282490456036,0.39736843,1.0
C0060,-0.141434467716894,-0.28125,1.0
C0061,-0.2270820482248375,-0.53,1.0
C0062,0.3134308619688606,0.67615384,1.0
C0063,-0.3526884531265082,-0.70625,1.0
C0064,0.2445108295759541,0.4978261,1.0
C0065,-0.2139055333866942,-0.566,1.0
C0066,0.2414231398623245,0.79545456,1.0
C0067,-0.3117343022159807,-0.55833334,1.0
C0068,0.3793003476515143,0.81666666,1.0
C0069,-0.3027945852525628,-0.665,1.0
C0070,0.2243692925033239,0.68,1.0
C0071,-0.3251930166380989,-0.684375,1.0
C0072,0.2803698799531062,0.59375,1.0
C0073,-0.2408513060656242,-0.43888888,1.0
C0074,0.2360943246714658,0.62083334,1.0
C0075,-0.2638574138813587,-0.64285713,1.0
C0076,0.0837179162010447,0.34,1.0
C0077,-0.230344183092494,-0.53,1.0
C0078,0.1959331823350347,0.375,1.0
C0079,-0.167811335049039,-0.50789475,1.0
C0080,0.1088455074479028,0.25,1.0
C0081,-0.3574191942148295,-0.7083333,1.0
C0082,0.177508493035754,0.8142857,1.0
C0083,-0.1153714320048762,-0.45,1.0
C0084,0.129499398540365,0.24,1.0
C0085,-0.3907426263140205,-0.775,1.0
C0086,-0.0411868850138435,0.04375,1.0
C0087,-0.1687927795498547,-0.325,1.0
C0088,0.1372509711053441,0.0,0.0
C0089,-0.3013148053592053,-0.4,1.0
C0090,0.3856340482388511,0.78125,1.0
C0091,-0.3654363812442248,-0.35555556,1.0
C0092,0.2152699049766316,0.34,1.0
C0093,-0.3020307384790553,-0.6547619,1.0
C0094,0.1528111725573619,0.6166667,1.0
C0095,-0.0884734948235811,-0.2375,1.0
C0096,0.3216264300409374,0.6720588,1.0
C0097,-0.2211253180367196,-0.45,1.0
C0098,0.2387403579142082,0.35357141,1.0
C0099,-0.2549168616632466,-0.53333336,1.0
C0100,0.3458406214337367,0.6909091,1.0
C0101,-0.1289039680802583,0.0,0.0
C0102,-0.2888545875707004,-0.6359375,1.0
C0103,0.2514829827517366,0.6840909,1.0
C0104,-0.2725818987577971,-0.71875,1.0
C0105,-0.3626924592051136,-0.6625,1.0
C0106,0.3515939999911691,0.5710526,1.0
C0107,-0.0926328104288754,0.022222223,1.0
C0108,-0.1269816293598848,-0.03,1.0
C0109,0.3680120793129717,0.658,1.0
C0110,-0.23440642787987,-0.575,1.0
C0111,-0.196921057616427,-0.57,1.0
C0112,0.3977328022946694,0.7416667,1.0
C0113,-0.0244257768043132,-0.35,1.0
C0114,0.2727080995457521,0.6638889,1.0
C0115,-0.2740923927467738,-0.5673913,1.0
C0116,0.3493381904686421,0.7625,1.0
C0117,-0.3599867820351044,-0.6853448,1.0
C0118,0.2145944618461813,0.6388889,1.0
C0119,-0.060400451425986,0.004166667,1.0
C0120,0.2931684351951803,0.68333334,1.0
C0121,-0.2250169930721303,-0.45714286,1.0
C0122,0.249469947226947,0.6035714,1.0
C0123,-0.2426967297139196,-0.55,1.0
C0124,0.1159012559519207,0.545,1.0
C0125,-0.3437045326235352,-0.75,1.0
C0126,0.272858276180319,0.62333333,1.0
C0127,-0.3059049722850456,-0.64285713,1.0
C0128,0.1840317089637739,0.425,1.0
C0129,0.1185204505984029,0.7777778,1.0
C0130,0.3424664300715186,0.6939394,1.0
C0131,-0.2860045024596746,-0.27,1.0
C0132,0.3144356304531784,0.68333334,1.0
C0133,-0.3936871463318302,-0.81666666,1.0
C0134,0.3044803463138048,0.64285713,1.0
C0135,-0.2321892414042613,-0.69,1.0
C0136,0.3486671233953319,0.7117647,1.0
C0137,0.0707397542558737,-0.15,1.0
C0138,-0.3106548305512659,-0.8333333,1.0
C0139,-0.3669866697145066,-0.63928574,1.0
C0140,0.2973658307707286,0.52619046,1.0
C0141,-0.2339631207488501,-0.62777776,1.0
C0142,0.2845980839058635,0.67903227,1.0
C0143,-0.1726377278188123,-0.34666666,1.0
C0144,0.1192705616305104,0.42916667,1.0
C0145,-0.1850831757971057,-0.025,1.0
C0146,0.2043465111076536,0.49,1.0
C0147,-0.0485164549256108,-0.27222222,1.0
C0148,0.0780217274270528,0.1,1.0
C0149,-0.2236370187167388,-0.625,1.0
C0150,-0.1226310665254807,-0.5,1.0
C0151,0.1808596144071674,0.5,1.0
C0152,-0.215041439097146,-0.47884616,1.0
C0153,0.2083534139956281,0.75555557,1.0
C0154,-0.2308337573659714,-0.6032258,1.0
C0155,0.1327600183646241,0.48125,1.0
C0156,-0.3071806488009701,-0.621875,1.0
C0157,0.2645785550249451,0.5346154,1.0
C0158,-0.3845103821716548,-0.75,1.0
C0159,0.2579348941928986,0.65,1.0
C0160,-0.2898716089451529,-0.54444444,1.0
C0161,0.2726053751705165,0.5083333,1.0
C0162,-0.331729729028493,-0.71590906,1.0
C0163,0.3044115260149838,0.6534483,1.0
C0164,-0.4690566645232941,-0.7,1.0
C0165,0.1120172588840039,0.06,1.0
C0166,-0.310961549344297,-0.60833335,1.0
C0167,0.1741402623114526,0.8,1.0
C0168,-0.3072756319314122,-0.5952381,1.0
C0169,0.2854329649500029,0.6269231,1.0
C0170,-0.3143632641003572,-0.49,1.0
C0171,0.29879390085675,0.6666667,1.0
C0172,-0.2955292000256415,-0.553125,1.0
C0173,0.2783091565412768,0.6,1.0
C0174,-0.3065868889923923,-0.68214285,1.0
C0175,0.1541513736668033,0.35526314,1.0
C0176,-0.3767362438142007,-0.46,1.0
C0177,0.1367219087685605,0.85,1.0
C0178,0.2446305766089803,0.50086206,1.0
C0179,-0.3535230604808119,-0.45,1.0
C0180,0.2954742045732864,0.69473684,1.0
C0181,-0.1929466241327246,-0.4,1.0
C0182,0.1483172618891607,0.55,1.0
C0183,-0.2294896872051865,-0.7,1.0
C0184,-0.3479634249688418,-0.6075758,1.0
C0185,0.3134169523840707,0.66842103,1.0
C0186,-0.2579564114766681,-0.69736844,1.0
C0187,0.3547046374820303,0.71666664,1.0
C0188,-0.4041761572553332,-0.658,1.0
C0189,0.0539410648638902,0.35535714,1.0
C0190,-0.1567996948246274,-0.071428575,1.0
C0191,0.3503737800692709,0.7382353,1.0
C0192,-0.2424311491148474,-0.575,1.0
C0193,0.2430659890779012,0.6375,1.0
C0194,-0.2756307043847746,-0.50666666,1.0
C0195,0.350547019283383,0.7625,1.0
C0196,-0.2834892847783877,-0.67017543,1.0
C0197,0.2137335932000969,0.47804055,1.0
C0198,-0.2999715916311625,-0.4125,1.0
C0199,0.1237463129709516,0.31111112,1.0
C0200,-0.2949975852192318,-0.6666667,1.0
C0201,0.1668289626520795,0.35263157,1.0
C0202,-0.2079668223919264,-0.5,1.0
C0203,0.4302370548116641,0.74230766,1.0
C0204,-0.2487000795260169,-0.23,1.0
C0205,0.3303580483192327,0.81666666,1.0
C0206,0.1020643783444583,0.23125,1.0
C0207,-0.3606743840867494,-0.67777777,1.0
C0208,0.280283481710754,0.60714287,1.0
C0209,-0.2216402167821883,-0.5625,1.0
C0210,0.3251472724095602,0.60967743,1.0
C0211,-0.2059538233344488,-0.32352942,1.0
C0212,0.36986032783532,0.375,1.0
C0213,-0.16432278980329,-0.65833336,1.0
C0214,0.3047129762189225,0.7131579,1.0
C0215,-0.3378646769623636,-0.55,1.0
C0216,0.2703791267261605,0.57708335,1.0
C0217,-0.3313393806410387,-0.65,1.0
C0218,0.1256711651663898,0.45,1.0
C0219,-0.2341283712508258,-0.7,1.0
C0220,0.2948542591474837,0.6289474,1.0
C0221,-0.1622725256291403,-0.58,1.0
C0222,0.1659231015440487,0.23387097,1.0
C0223,-0.2448059032069527,-0.4738095,1.0
C0224,0.3306041710046792,0.7617647,1.0
